lokasi,nama_komoditas,2019-02-01,2019-02-02,2019-02-03,2019-02-04,2019-02-05,2019-02-06,2019-02-07,2019-02-08,2019-02-09,2019-02-10,2019-02-11,2019-02-12,2019-02-13,2019-02-14,2019-02-15,2019-02-16,2019-02-17,2019-02-18,2019-02-19,2019-02-20,2019-02-21,2019-02-22,2019-02-23,2019-02-24,2019-02-25,2019-02-26,2019-02-27,2019-02-28
"Pasar Andir","Beras Medium",11000,0,0,11000,0,11000,0,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,0,0,0,11000,11000,11000,0
"Pasar Andir","Cabe Merah",30000,0,0,25000,0,25000,0,25000,0,0,25000,25000,25000,25000,25000,0,0,25000,20000,20000,20000,0,0,0,22000,22000,22000,0
"Pasar Andir","Bawang Merah",27000,0,0,20000,0,20000,0,20000,0,0,20000,20000,20000,20000,20000,0,0,20000,20000,20000,20000,0,0,0,20000,20000,20000,0
"Pasar Andir","Daging Ayam Ras",34000,0,0,33000,0,33000,0,33000,0,0,33000,33000,33000,33000,33000,0,0,33000,33000,33000,33000,0,0,0,33000,33000,33000,0
"Pasar Andir","Telur Ayam Ras",23000,0,0,23000,0,23000,0,23000,0,0,23000,23000,23000,23000,23000,0,0,23000,23000,23000,23000,0,0,0,23000,23000,23000,0
"Pasar Andir","Daging Sapi",115000,0,0,115000,0,115000,0,115000,0,0,115000,115000,115000,115000,115000,0,0,115000,115000,115000,115000,0,0,0,115000,115000,115000,0
"Pasar Andir","Minyak Goreng",14500,0,0,14500,0,14500,0,14500,0,0,14500,14500,14500,14500,14500,0,0,14500,14500,14500,14500,0,0,0,14500,14500,14500,0
"Pasar Andir","Gula Pasir",12500,0,0,12500,0,12500,0,12500,0,0,12500,12500,12500,12500,12500,0,0,12500,12500,12500,12500,0,0,0,12500,12500,12500,0
"Pasar Andir",Kentang,12000,0,0,12000,0,12000,0,12000,0,0,12000,12000,12000,12000,12000,0,0,12000,12000,12000,12000,0,0,0,12000,12000,12000,0
"Pasar Andir",Kedelai,11000,0,0,11000,0,11000,0,11000,0,0,11000,11000,11000,11000,11000,0,0,11000,11000,11000,11000,0,0,0,11000,11000,11000,0
"Pasar Andir","Tepung Terigu",7500,0,0,7500,0,7500,0,7500,0,0,7500,7500,7500,7500,7500,0,0,7500,7500,7500,7500,0,0,0,7500,7500,7500,0
"Pasar Andir","Bawang Putih",22000,0,0,21000,0,21000,0,21000,0,0,21000,21000,21000,21000,21000,0,0,21000,210000,21000,21000,0,0,0,21000,21000,21000,0
"Pasar Andir","Cabe Keriting",25000,0,0,25000,0,25000,0,25000,0,0,25000,25000,25000,25000,25000,0,0,25000,20000,20000,20000,0,0,0,15000,15000,15000,0
"Pasar Andir","Cabe Rawit",25000,0,0,25000,0,25000,0,25000,0,0,27000,27000,27000,27000,27000,0,0,27000,25000,25000,25000,0,0,0,25000,25000,25000,0
